id,title,genres
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,Jumanji (1995),Adventure|Children|Fantasy
2,Grumpier Old Men (1995),Comedy|Romance
3,Waiting to Exhale (1995),Comedy|Drama|Romance
4,Father of the Bride Part II (1995),Comedy
5,Heat (1995),Action|Crime|Thriller
6,Sabrina (1995),Comedy|Romance
7,Tom and Huck (1995),Adventure|Children
8,Sudden Death (1995),Action
9,GoldenEye (1995),Action|Adventure|Thriller
10,"American President, The (1995)",Comedy|Drama|Romance
11,Dracula: Dead and Loving It (1995),Comedy|Horror
12,Balto (1995),Adventure|Animation|Children
13,Nixon (1995),Drama
14,Cutthroat Island (1995),Action|Adventure|Romance
15,Casino (1995),Crime|Drama
16,Sense and Sensibility (1995),Drama|Romance
17,Four Rooms (1995),Comedy
18,Ace Ventura: When Nature Calls (1995),Comedy
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,Get Shorty (1995),Comedy|Crime|Thriller
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,Assassins (1995),Action|Crime|Thriller
23,Powder (1995),Drama|Sci-Fi
24,Leaving Las Vegas (1995),Drama|Romance
25,Othello (1995),Drama
26,Now and Then (1995),Children|Drama
27,Persuasion (1995),Drama|Romance
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,Dangerous Minds (1995),Drama
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,Wings of Courage (1995),Adventure|Romance|IMAX
33,Babe (1995),Children|Drama
34,Carrington (1995),Drama|Romance
35,Dead Man Walking (1995),Crime|Drama
36,Across the Sea of Time (1995),Documentary|IMAX
37,It Takes Two (1995),Children|Comedy
38,Clueless (1995),Comedy|Romance
39,"Cry, the Beloved Country (1995)",Drama
40,Richard III (1995),Drama|War
41,Dead Presidents (1995),Action|Crime|Drama
42,Restoration (1995),Drama
43,Mortal Kombat (1995),Action|Adventure|Fantasy
44,To Die For (1995),Comedy|Drama|Thriller
45,How to Make an American Quilt (1995),Drama|Romance
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
48,When Night Is Falling (1995),Drama|Romance
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,Mighty Aphrodite (1995),Comedy|Drama|Romance
51,Lamerica (1994),Adventure|Drama
52,"Big Green, The (1995)",Children|Comedy
53,Georgia (1995),Drama
54,Kids of the Round Table (1995),Adventure|Children|Fantasy
55,Home for the Holidays (1995),Drama
56,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
57,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
58,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
59,Eye for an Eye (1996),Drama|Thriller
60,Mr. Holland's Opus (1995),Drama
61,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
62,Two if by Sea (1996),Comedy|Romance
63,Bio-Dome (1996),Comedy
64,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
65,Two Bits (1995),Drama
66,French Twist (Gazon maudit) (1995),Comedy|Romance
67,Friday (1995),Comedy
68,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
69,Fair Game (1995),Action
70,Kicking and Screaming (1995),Comedy|Drama
71,"Misérables, Les (1995)",Drama|War
72,Bed of Roses (1996),Drama|Romance
73,Big Bully (1996),Comedy|Drama
74,Screamers (1995),Action|Sci-Fi|Thriller
75,Nico Icon (1995),Documentary
76,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
77,"Juror, The (1996)",Drama|Thriller
78,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
79,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
80,Antonia's Line (Antonia) (1995),Comedy|Drama
81,Once Upon a Time... When We Were Colored (1995),Drama|Romance
82,Last Summer in the Hamptons (1995),Comedy|Drama
83,Angels and Insects (1995),Drama|Romance
84,White Squall (1996),Action|Adventure|Drama
85,Dunston Checks In (1996),Children|Comedy
86,Black Sheep (1996),Comedy
87,Nick of Time (1995),Action|Thriller
88,"Journey of August King, The (1995)",Drama
89,Mary Reilly (1996),Drama|Horror|Thriller
90,Vampire in Brooklyn (1995),Comedy|Horror|Romance
91,Beautiful Girls (1996),Comedy|Drama|Romance
92,Broken Arrow (1996),Action|Adventure|Thriller
93,In the Bleak Midwinter (1995),Comedy|Drama
94,"Hate (Haine, La) (1995)",Crime|Drama
95,Shopping (1994),Action|Thriller
96,Heidi Fleiss: Hollywood Madam (1995),Documentary
97,City Hall (1996),Drama|Thriller
98,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
99,Mr. Wrong (1996),Comedy
100,Unforgettable (1996),Mystery|Sci-Fi|Thriller
101,Happy Gilmore (1996),Comedy
102,"Bridges of Madison County, The (1995)",Drama|Romance
103,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
104,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
105,Catwalk (1996),Documentary
106,Braveheart (1995),Action|Drama|War
107,Taxi Driver (1976),Crime|Drama|Thriller
108,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
109,Before and After (1996),Drama|Mystery
110,Margaret's Museum (1995),Drama
111,Anne Frank Remembered (1995),Documentary
112,"Young Poisoner's Handbook, The (1995)",Crime|Drama
113,If Lucy Fell (1996),Comedy|Romance
114,"Steal Big, Steal Little (1995)",Comedy
115,Race the Sun (1996),Adventure|Comedy|Drama
116,"Boys of St. Vincent, The (1992)",Drama
117,Boomerang (1992),Comedy|Romance
118,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
119,Flirting With Disaster (1996),Comedy
120,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
121,Jupiter's Wife (1994),Documentary
122,Pie in the Sky (1996),Comedy|Romance
123,Frankie Starlight (1995),Drama|Romance
124,Jade (1995),Thriller
125,Down Periscope (1996),Comedy
126,From the Journals of Jean Seberg (1995),Documentary
127,Man of the Year (1995),Documentary
128,"Neon Bible, The (1995)",Drama
129,Up Close and Personal (1996),Drama|Romance
130,"Birdcage, The (1996)",Comedy
131,"Brothers McMullen, The (1995)",Comedy
132,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
133,"Amazing Panda Adventure, The (1995)",Adventure|Children
134,"Basketball Diaries, The (1995)",Drama
135,"Awfully Big Adventure, An (1995)",Drama
136,Amateur (1994),Crime|Drama|Thriller
137,Apollo 13 (1995),Adventure|Drama|IMAX
138,Rob Roy (1995),Action|Drama|Romance|War
139,"Addiction, The (1995)",Drama|Horror
140,Batman Forever (1995),Action|Adventure|Comedy|Crime
141,Beauty of the Day (Belle de jour) (1967),Drama
142,Beyond Rangoon (1995),Adventure|Drama|War
143,Blue in the Face (1995),Comedy|Drama
144,Canadian Bacon (1995),Comedy|War
145,Casper (1995),Adventure|Children
146,Clockers (1995),Crime|Drama|Mystery
147,Congo (1995),Action|Adventure|Mystery|Sci-Fi
148,Crimson Tide (1995),Drama|Thriller|War
